Faculté;Semestre;Cursus;Crédits;Nom;Professeur
LETTRES;Annuel;Master;3.00;Introduction au sanskrit : travaux pratiques (niveau 1);Danielle Feller, Ingo Strauch
LETTRES;Annuel;Master;6.00;Champs et pratiques de l'histoire;Simona Boscani Leoni, Malik Mazbouri, Eva Pibiri, François Vallotton
LETTRES;Annuel;Master;3.00;Introduction au hindi : hindi oral (niveau 1);Ishtiyaque Ahmed, Nicola Pozza
FTSR;Annuel;Master;6.00;Initiation à la langue arabe moderne (niveau I);Hala Abdel Meguid, Wissam Halawi
FTSR;Automne;Master;3.00;Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques;Benoît Ischer, Christian Schlenker
SCIENCES²;Automne;Master;3.00;Des activités mentales au comportement : le cerveau dans tous ses états;Delphine Preissmann, Nicolas Toni
FTSR;Automne;Master;3.00;Introduction au Nouveau Testament et aux traditions chrétiennes anciennes I;Simon Butticaz
FTSR;Automne;Master;3.00;Introduction à l'anthropologie du religieux : histoire et méthodologie;Raphaël Rousseleau
LETTRES;Automne;Master;2.00;Introduction à la langue latine I - ME1;Brigitte Maire
FTSR;Automne;Master;2.50;Introduction au judaïsme : histoire, religion, culture. Des origines à 1492.;Jacques Ehrenfreund, David Hamidovic
FTSR;Annuel;Master;6.00;Hébreu moderne II;Avia Solomon
LETTRES;Automne;Master;2.00;Introduction à la langue latine I - JE;Alessandra Rolle
FTSR;Automne;Master;2.50;Introduction à la religion de l'Egypte ancienne;Giuseppina Lenzo
FTSR;Automne;Bachelor;3.00;Méthodologie;Frédéric Amsler
FTSR;Automne;Master;3.00;La sociologie des religions;Jörg Stolz
LETTRES;Automne;Master;3.00;Introduction à l'hindouisme;Nadia Cattoni
FTSR;Annuel;Master;5.00;Connaissances générales des religions : Ateliers méthodologiques;Virgile Delmas
FTSR;Automne;Master;2.50;Diversité religieuse, pluralisme et reconnaissance;Irene Becci
LETTRES;Annuel;Master;4.00;Initiation au grec ancien;Pierre Voelke
FTSR;Automne;Master;3.00;Introduction à la philosophie antique (Platon, Aristote);Ghislain Waterlot
FTSR;Automne;Master;2.50;Le christianisme, son histoire et ses problèmes I. De l’Antiquité au XVIe siècle;Frédéric Amsler
LETTRES;Automne;Master;2.00;Introduction à la langue latine I - COURS BLOC - CB;Brigitte Maire
FTSR;Annuel;Master;n/d;Atelier de lectures en Nouveau Testament;Marie Duruz
SSP;Automne;Master;3.00;Biologie évolutive et comportementale;Michel Chapuisat
LETTRES;Annuel;Master;6.00;Introduction à l'histoire ancienne - Annuel (HANC);Lara Dubosson-Sbriglione
FTSR;Annuel;Master;n/d;Lecture de textes choisis de l'Ancien Testament/Bible hébraïque;Gaël Carriou
LETTRES;Automne;Master;2.50;Introduction à l'histoire du bouddhisme indien;Ingo Strauch
LETTRES;Annuel;Master;3.00;Introduction au hindi : grammaire (niveau 1);Nicola Pozza
FTSR;Annuel;Master;7.00;Grec postclassique I;Anne Boiché
LETTRES;Automne;Master;2.00;Introduction à la langue latine I - LU;Julien Pingoud
LETTRES;Annuel;Master;1.00;Travaux d'appui en grec ancien I;Matteo Capponi, Pierre Voelke
SCIENCES²;Automne;Master;3.00;Terre! Origine et évolution d'une planète turbulente;François Bussy, Jean-Luc Epard
FTSR;Automne;Master;3.00;Introduction à l'Ancien Testament/Bible hébraïque I. L'histoire de l'Israël ancien et le Pentateuque.;Ruth Ebach
LETTRES;Annuel;Master;6.00;Introduction au sanskrit : cours de grammaire (niveau 1);Danielle Feller, Ingo Strauch
